,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
73,tt3194744,Silence,Silence,2013,66.0,['Drama'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-22773374.0
74,tt3425108,Silence,Silence,2013,120.0,"['Drama', 'Thriller']",42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-22773374.0
75,tt5643994,Silence,Silence,2018,,['Thriller'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-22773374.0
76,tt6504712,Silence,Silence,2017,,['Drama'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-22773374.0
77,tt8282116,Silence,Silence,2018,90.0,['Drama'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-22773374.0
78,tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"['Comedy', 'Drama', 'Romance']",72,"May 6, 2011",Something Borrowed,35000000.0,39046489.0,65084116.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,30084116.0
79,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"['Drama', 'History', 'Romance']",8,"Sep 1, 2017",Tulip Fever,25000000.0,2455635.0,6792768.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,-18207232.0
80,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"['Comedy', 'Family']",17,"Apr 30, 2010",Furry Vengeance,35000000.0,17630465.0,39340177.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4340177.0
81,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"['Adventure', 'Comedy', 'Family']",60,"Jul 23, 2010",Ramona and Beezus,15000000.0,26167002.0,27469621.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12469621.0
82,tt0498381,Rings,Rings,2017,102.0,"['Drama', 'Horror', 'Mystery']",38,"Feb 3, 2017",Rings,25000000.0,27793018.0,82917283.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,57917283.0
