,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
532,tt5580266,7.3,17583,The Hate U Give,The Hate U Give,2018,133.0,"Crime,Drama",78,"Oct 5, 2018",The Hate U Give,"$23,000,000","$29,719,483",35067665.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
533,tt0433035,7.1,283534,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",31,"Oct 7, 2011",Real Steel,"$110,000,000","$85,463,309",263880341.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
534,tt0493949,6.6,16086,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",60,"Jul 23, 2010",Ramona and Beezus,"$15,000,000","$26,167,002",27469621.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
535,tt0790628,5.9,67549,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",7,"Mar 15, 2013",The Incredible Burt Wonderstone,"$32,000,000","$22,537,881",27392609.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
536,tt0790736,5.6,109078,R.I.P.D.,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",55,"Jul 19, 2013",R.I.P.D.,"$130,000,000","$33,618,855",79076678.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
537,tt0848537,6.7,95318,Epic,Epic,2013,102.0,"Adventure,Animation,Family",77,"May 24, 2013",Epic,"$100,000,000","$107,518,682",262794441.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
538,tt0873886,6.2,59266,Red State,Red State,2011,88.0,"Action,Crime,Horror",22,"Sep 23, 2011",Red State,"$4,000,000","$1,065,429",1983596.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
539,tt0970179,7.5,284869,Hugo,Hugo,2011,126.0,"Adventure,Drama,Family",89,"Nov 23, 2011",Hugo,"$180,000,000","$73,864,507",180047784.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
540,tt0990363,3.0,889,Detention,Detention,2010,81.0,"Horror,Thriller",45,"Apr 13, 2012",Detention,"$10,000,000",$0,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
541,tt1701990,5.8,14221,Detention,Detention,2011,93.0,"Comedy,Horror,Mystery",45,"Apr 13, 2012",Detention,"$10,000,000",$0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
542,tt1014763,6.5,59477,Child 44,Child 44,2015,137.0,"Crime,Drama,History",2,"Apr 17, 2015",Child 44,"$50,000,000","$1,224,330",8004221.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
543,tt1142977,7.0,89489,Frankenweenie,Frankenweenie,2012,87.0,"Animation,Comedy,Family",48,"Oct 5, 2012",Frankenweenie,"$39,000,000","$35,287,788",81150788.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
544,tt1212428,6.6,66475,The Lost City of Z,The Lost City of Z,2016,141.0,"Adventure,Biography,Drama",82,"Apr 14, 2017",The Lost City of Z,"$30,000,000","$8,574,339",17121823.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
545,tt1213663,7.0,235308,The World's End,The World's End,2013,109.0,"Action,Comedy,Sci-Fi",76,"Aug 23, 2013",The World's End,"$20,000,000","$26,004,851",47508505.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
546,tt1216520,6.4,12489,Womb,Womb,2010,111.0,"Drama,Romance,Sci-Fi",12,"Mar 30, 2012",Womb,"$13,000,000",$0,0.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
547,tt1289419,3.6,587,N-Secure,N-Secure,2010,105.0,"Crime,Drama,Thriller",54,"Oct 15, 2010",N-Secure,"$1,600,000","$2,595,644",2595644.0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
548,tt1323045,6.2,62311,Frozen,Frozen,2010,93.0,"Adventure,Drama,Sport",56,"Nov 22, 2013",Frozen,"$150,000,000","$400,738,009",1272469910.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
549,tt2294629,7.5,516998,Frozen,Frozen,2013,102.0,"Adventure,Animation,Comedy",56,"Nov 22, 2013",Frozen,"$150,000,000","$400,738,009",1272469910.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
550,tt1398426,7.9,165307,Straight Outta Compton,Straight Outta Compton,2015,147.0,"Biography,Drama,History",35,"Aug 14, 2015",Straight Outta Compton,"$28,000,000","$161,197,785",202182981.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
